reference	verse	book
1 Samuel 8:12	The king will choose/appoint certain sons [to lead 1000 men].  And other sons will lead 50 men. The king will force [certain sons to plow the king's fields]. And the king will force [other sons to harvest the king's crops]. And the king will force [other sons to make weapons and chariots].	1_Samuel
Genesis 9:24	Noah was sleeping [because Noah was drunk]. [After Noah wake-up] Noah find-out [that Noah's youngest son looked at Noah [while Noah was not wearing clothes]].	Genesis
Genesis 33:9	But Esau said, ["My(Esau's) brother, I(Esau) already have enough animals.] You(Jacob) (imp) keep those animals".	Genesis
Joshua 6:19	All of the silver, all of the gold, all of the bronze, and all of the iron belong to Yahweh. We(Israelites) must give all of those things to Yahweh."	Joshua
1 Samuel 23:16	But Saul’s son named Jonathan went to David.  And Jonathan helped [David trust in God]. And Jonathan encouraged David.	1_Samuel
2 Samuel 24:15	So Yahweh caused [many people to become sick in Israel]. People started becoming sick in that morning. And people continued becoming sick for 3 days. And 70000 people [that were living in Israel] died.	2_Samuel
Joshua 10:14	The sun did not stop moving in the sky before that day or after that day. Yahweh listened to a man on that day. Yahweh was definitely fighting for Israel!	Joshua
Nehemiah 12:6	Shemaiah, Joiarib, Jedaiah,	Nehemiah
Genesis 37:28	So [after those people arrived at the well] the brothers pulled out Joseph from the well. and the brothers sold Joseph to those people for silver -quantity 225 grams. Then those people took Joseph to Egypt.	Genesis
Joshua 14:7	[When I(Caleb) was 40 years old] Moses sent [me(Caleb) to look at this land]. [After I(Caleb) returned to Moses] I(Caleb) told Moses about this land.	Joshua
1 Samuel 23:21	Then Saul said to those people, ["I(Saul) hope [that Yahweh will bless you(people)] [because you(people) helped me(Saul)]].	1_Samuel
Genesis 26:14	[Because Isaac owned many slaves and many animals] the Philistines were jealous of Isaac.	Genesis
Joshua 2:21	Rahab answered, ["I(Rahab) will obey you(men/spies)."]  Then the 2 men/spies left. And Rahab put the red rope in Rahab's window.	Joshua
1 Samuel 15:11	Yahweh said, ["Saul stopped obeying me(Yahweh)].  So I(Yahweh) regret [that I(Yahweh) chose/appointed [Saul to become Israel's king]]. Saul does not obey my(Yahweh's) instructions." Then Samuel became angry. And Samuel cried out to Yahweh during the night.	1_Samuel
1 Samuel 16:11	Then Samuel asked Jesse, ["Do you(Jesse) have another son]?" Jesse answered, ["My(Jesse’s) youngest son is taking care of my(Jesse’s) sheep]."  So Samuel said, ["You(Jesse) (imp) bring that son to me(Samuel)]. We(Samuel) will not eat [until that son arrives]."	1_Samuel
2 Samuel 19:7	Now (imp) you(David) go outside. And (imp) you(David) encourage your(David's) soldiers. [If you(David) do not go to those people now] then all of those people will leave you(David) today.  Then you(David) will have a very big problem."	2_Samuel
1 Samuel 30:29	And David sent things to the leaders [who were in Rakal]. And David also sent things to the leaders of the towns [that the Jerahmeelites and the Kenites were living in].	1_Samuel
Mark 4:27	[While that man slept at night] [and while that man was awake _LDV during the day] those seeds became plants. And those plants grew. But that man did not know-how [those plants grew].	Mark
2 Samuel 22:22	I(David) obeyed the commands of Yahweh.And I(David) did not leave my(David's) God.	2_Samuel
Esther 3:10	The king agreed with Haman. The name of Haman's father was Hammedatha [who was an Agagite]. Then the king gave the king's ring to Haman [so that Haman could write a new law]. Haman was the Jews' enemy.	Esther
Matthew 14:17	_paragraph Those followers/disciples said to Jesus _implicit, ["We(followers) have only 5 pieces/loaves of bread and 2 fish."]	Matthew
Mark 8:25	(paragraph) Jesus put Jesus's hands on that man's eyes again. Then that man looked/stared hard. And that man's eyes were repaired/restored by Jesus _implicitActiveAgent. That man was able [to see all things clearly].	Mark
Genesis 44:32	I(Judah) promised my(Judah's) father [that this young boy will return to my(Judah's) father safely]. I(Judah) said to my(Judah's) father, ["[If I(Judah) do not bring Benjamin to you(Jacob)] you(Jacob) may blame me(Judah)."]	Genesis
Acts 16:27	Then the chief guard of the prison awoke. And the chief guard of the prison saw [that the prison's doors were open]. The chief guard of the prison thought [that the prisoners had already escaped]. So the chief guard of the prison picked up  the chief guard of the prison’s sword. And the chief guard of the prison was ready to kill the chief guard of the prison.	Acts
Genesis 39:16	Potiphar's wife held Joseph's coat [until Potiphar returned to the house].	Genesis
Mark 9:18	[Whenever that spirit attacks-C my(man's) son,] that spirit causes [my(man's) son to fall to the ground _implicit]. Saliva/foam come-out from my(man's) son's mouth. And my(man's) son rubs my(man's) son's top teeth against my(man's) son's bottom teeth hard . Then my(man's) son is not able [to move my(man's) son's body] . I(man) asked your(Jesus's) followers/disciples [your(Jesus's) followers/disciples to force [that evil/unclean _implicit spirit to leave my(man's) son]]. But those followers/disciples were not able [to do that thing]."	Mark
Esther 1:18	Today the important women [that live in Persia and in Media] will hear about the things [that the queen did]. Then those women will not do all the things [that the officials say]. Many women will not do all the things [that the women's husbands say]. And many men will become very angry.	Esther
1 Samuel 1:26	Hannah said to Eli, ["My(Hannah's) master, I(Hannah) am the woman [who stood beside you(Eli)]].  And you(Eli) saw [me(Hannah) praying to Yahweh].	1_Samuel
Matthew 1:21	Mary will birth a son. And you(Joseph) should name that son Jesus. For that son will save-A that son’s people from those people’s bad _morally actions."	Matthew
Genesis 22:12	The angel said to Abraham, ["You(Abraham) (imp) do not kill your(Abraham's) son.]  You(Abraham) (imp) do not hurt your(Abraham's) son. Now I(Yahweh) know [that you(Abraham) respect me(God)]. and I(Yahweh) know [that you(Abraham) were willing [to give your(Abraham's) only son to me(Yahweh)]]."	Genesis
Joshua 6:11	So Joshua ordered [the priests to carry the ark-of-the-covenant around the city -iteration one time]. Then the people returned to the people's tents [in-order-to sleep during the night].	Joshua
Genesis 30:17	Then God answered Leah's prayer. and Leah became pregnant again. Leah birthed a fifth son.	Genesis
Nehemiah 5:18	On each day my(Nehemiah’s) servants cooked one cow, six very good sheep, and some birds for me(Nehemiah). On each tenth day my(Nehemiah's) servants brought much wine. My(Nehemiah's) servants brought many kinds of wine. But I(Nehemiah) did not ask/demand [that the people give that food to me(Nehemiah)] [because the people were paying too much taxes].	Nehemiah
1 Samuel 6:16	The five rulers of the Philistines watched [the Israelites doing those things]. Then those rulers returned to Ekron on that day.	1_Samuel
2 Samuel 18:25	So that guard shouted to King David.  And that guard told David about the man[who was running toward the city alone].The king said, ["[If that man is alone] then that man will tell good news to me(David).]"That man continued running toward the city.	2_Samuel
Genesis 43:22	We(brothers) also brought more money [in-order-to pay for the food [that we(brothers) want [to buy today]]]. We(brothers) do not know [which person put that money in our(brothers') bags]."	Genesis
Mark 14:68	(paragraph) But Peter said [that thing-C _implicitNecessary [(implicit-situational) that the girl said] was not true]. Peter said, ["I(Peter) do not know-D about the thing [that you(girl) are talking about]]. And I(Peter) do not understand the thing [that you(girl) are talking about]." Then Peter went to the entrance of the yard/courtyard _implicit. (footnote) Some manuscripts _copyinLDV of this part of the Scriptures say, ["Then Peter went to the entrance of the yard/courtyard _implicit]. And a male chicken shouted."	Mark
2 Samuel 11:24	Then soldiers [that were standing on the wall of the city] shot arrows at your(David's) servants. Those arrows killed several of your(king's) soldiers.  And your(David's) servant named Uriah is dead."	2_Samuel
Daniel 6:11	[After the king wrote the king's name on the new law] the officials [who were jealous of Daniel] went to Daniel's house. The officials saw [Daniel praying]. And the officials heard [Daniel asking [God to help people]].	Daniel
Genesis 31:2	And Jacob notice [that Laban stopped treating Jacob kindly].	Genesis
1 Samuel 17:4	A soldier named Goliath was in the Philistines' army. Goliath fought very well. Previously Goliath (implicit-info) killed many soldiers. And Goliath was from Gath. Goliath was about 3 meters tall. [While the two armies were preparing to fight] Goliath started walking toward the Israelites' camp.	1_Samuel
Genesis 31:16	God take-away this money and all the animals from our(Rachel's) father. That money and those animals belong to us(Rachel) and to our(Rachel's) children now. So you(Jacob) (imp) obey God [by you(Jacob) taking us(Rachel) to your(Jacob's) house [that is in Canaan]]."	Genesis
Mark 6:16	(paragraph) But [after Herod heard these things-C _implicitNecessary,] Herod said, [" (implicit-situational) This man is John]. I(Herod) of a soldier _metonymyImplicitType killed John [by cut-off John's head]. But _implicit John became alive again !"	Mark
Daniel 3:28	Then Nebuchadnezzar said, ["Shadrach, Meshach, and Abednego honor the true God]. All people must honor the God of Shadrach, Meshach, and Abednego. God sent an angel [in order to save these men [that serve God]]. These men trusted God. And these men did not do all the things [that I(king) said]. These men were willing [to die] [in order to honor the God of these men]. These men do not honor other gods.	Daniel
Acts 18:22	And Paul arrived at the city named Caesarea. Then Paul traveled to Jerusalem [in order to greet the people [who belonged to the church at that place]]. Then Paul traveled to the city named Antioch.	Acts
Genesis 38:12	Judah's wife [who was the daughter of Shua] died many years Later. [After Judah finished mourning Judah's wife] Judah went to a city named Timnah [where Judah's men were cutting the hair from Judah's sheep]. Judah's friend named Hirah [who lived in Adullam] went with Judah to Timnah.	Genesis
2 Samuel 2:22	So Abner again said to Asahel, ["You(Asahel) (imp) stop chasing me(Abner)!] [If you(Asahel) continue chasing me(Abner)]  I(Abner) will kill you(Asahel). Then your(Asahel's) brother named Joab will be angry at me(Abner)!"	2_Samuel
Nehemiah 11:36	Some groups of people [who were in the tribe named Levi] [and who were from Judah] lived in the land [that the tribe named Benjamin owned].	Nehemiah
Nehemiah 2:11	Nehemiah (title) looks at/inspects/examines the walls of Jerusalem.  I(Nehemiah) went to Jerusalem. And I(Nehemiah) stayed in Jerusalem for three days.	Nehemiah
Matthew 22:10	So those servants-B went on the streets. And those servants-B gathered all of the people [whom those servants-B found]. Those servants-B gathered evil people and good people. And the room [where the meal/feast was] became full because of the many _implicit guests.	Matthew
Genesis 49:30	That cave is in a field [that belonged to Machpelah].  That field is in eastern Mamre [which is in Canaan]. Abraham bought that field and that cave from Ephron [so that people could bury the bodies of Abraham's descendants in that cave].	Genesis
Mark 6:34	[When Jesus went onto land,] Jesus saw a big crowd of people. And Jesus pitied those people [because those people were like sheep [that did not have a person [who cared for those sheep]]]. So Jesus started teaching-B to those people many things-C.	Mark
2 Samuel 13:39	[After King David stopped crying/mourning for Amnon], David wanted [to go to Absalom]. David (implicit-info) missed Absalom much.	2_Samuel
Matthew 13:46	[When that person/merchant found a jewelry/pearl [that is very valuable],] that man left. And that man sold all the things [that that man owned] [in order to buy that jewelry/pearl].	Matthew
1 Samuel 6:6	You(Philistines) (imp) do not be stubborn [like the Egyptians and the king of Egypt were stubborn]. Israel’s god punished those Egyptians much. Then the Egyptians told [the Israelites to leave Egypt].	1_Samuel
Genesis 26:3	You(Isaac) (imp) stay in this place. Then I(Yahweh) will be with you(Isaac).  And I(Yahweh) will bless you(Isaac). I(Yahweh) will give all this land to you(Isaac) and to the descendants of you(Isaac). and I(Yahweh) will do all the things [that I(Yahweh) promised the father of you(Isaac) [that I(Yahweh) will do the things]].	Genesis
Matthew 21:18	(title) Jesus causes [bad things to happen to a tree-fig]. _paragraph Early in the morning of the next day _implicit, [while Jesus and Jesus's followers/disciples _implicit were returning to the city _frameInferable,] Jesus became hungry.	Matthew
Joshua 15:38	And the tribe named Judah owned the towns named Dilean, Mizpah, and Joktheel.	Joshua
Mark 6:5	Jesus was not able-B [to do actions through God's power] in that place [(implicit-situational) because those people did not believe in Jesus]. But Jesus was able-B [to put Jesus's hands on sick people _paucal ]. And Jesus caused [those people to become healthy].	Mark
Acts 15:11	We (apostles) believe [that God will save us (Jews) through the kindness of Jesus Christ]. And God will save these people [who believe in Jesus] [and who are not Jews] in the same way."]	Acts
Esther 5:6	[While the king and Haman were drinking wine] the king said to Esther, ["What do you(Esther) want?] I(king) will give all of the things [that you(Esther) want] to you(Esther). I(king) will give half of my(king's) kingdom to you(Esther)."	Esther
Matthew 1:9	Uzziah became the father of Jotham. Jotham became the father of Ahaz. And Ahaz became the father of Hezekiah.	Matthew
Genesis 50:7	So Joseph went to Canaan [in-order-to bury Joseph's father's body.] The king's officers and all the important people [that lived in Egypt] went to Canaan with Joseph.	Genesis
Genesis 12:1	-Title God blesses Abram. One day Yahweh said to Abram, ["You(Abram) (imp) leave your(Abram's) country, your(Abram's) relatives, and your(Abram's) father's family]. and you(Abram) (imp) go to a place [that I(Yahweh) will show to you(Abram)].	Genesis
Joshua 15:60	Yahweh also gave the towns named Kiriath-Baal and Rabbah to the tribe named Judah. ( People called Kiriath-Baal Kiriath-Jearim. ) Therefore the tribe named Judah owned 2 towns [that were in that region].  And the tribe named Judah also owned the villages [that were near those towns].	Joshua
Mark 14:47	But a certain man [who was at that place] pull-out that man's sword. And that man hit-A the chief priest's servant/slave with that sword _implicit. And that man cut-off that servant's/slave ear.	Mark
1 Samuel 16:21	So David came to Saul.  Then David began serving Saul. Saul liked David very much. And David became one of the men [who carried Saul’s shield/armor].	1_Samuel
Joshua 8:1	The (title) Israelites destroy Ai.  Then Yahweh said to Joshua, ["(imp) You(Joshua) do not be afraid]. (imp) You(Joshua) lead all of your(Joshua's) soldiers to Ai. And (imp) you(Joshua) attack Ai.  I(Yahweh) will help [you(Israelites) defeat the king of Ai]. I(Yahweh) will give the king's people, the king's city, and the king's land to you(Israelites).	Joshua
Nehemiah 8:8	Those men [that were in the tribe named Levi] read God’s Book-of-the-Law to those people. And those men explained those laws to those people [so that those people understood the laws [that those men read]].	Nehemiah
Joshua 19:23	So Yahweh gave towns and villages to the people [who were in the tribe named Issachar]. Each group of families [that were in that tribe] received land.	Joshua
Genesis 21:24	Then Abraham said, ["I(Abraham) promise you(Abimelech) [that I(Abraham) will treat you(Abimelech) kindly]"].	Genesis
Daniel 12:12	The people [who are patient for 1335 days] will be happy forever.	Daniel
Matthew 10:33	But [if a person says [that person does not follow _routinely me(Jesus)] in-front-of other people,] I(Jesus) will also say [that person does not follow _routinely me(Jesus)] in-front-of my(Jesus’s) Father [ _descriptive who is in heaven].	Matthew
Daniel 2:3	The king said to these men, ["Tonight I(king) dreamed]. I(king) worry about this dream now. Therefore I(king) want [to know the meaning of this dream]."	Daniel
Joshua 2:17	Then those 2 men said to Rahab, ["We(men) will not keep the promise [that we(men) made to you(Rahab)] [unless you(Rahab) do these things]].	Joshua
Acts 1:8	But the Holy Spirit will come to you(apostles).  And the Holy Spirit will give power to you(apostles).  You(apostles) will tell people about me(Jesus).  You(apostles) will tell all the people [who live in Jerusalem], all the people [who live in Judea], all the people [who live in Samaria], and all the people [who live on the earth] about me(Jesus)."	Acts
Genesis 46:19	Jacob's wife named Rachel had sons named Joseph and named Benjamin.	Genesis
2 Samuel 23:4	That person is like the light [when the sun rises][and when there are not clouds in the sky].That person is like bright light[after the weather is rain]. That rain causes [grass to grow from the ground].	2_Samuel
Mark 11:12	(title) Jesus causes [bad things to happen to a tree-fig]. (paragraph) On-E the next day, [while Jesus and those followers/disciples were leaving Bethany,] Jesus became hungry.	Mark
Matthew 23:33	_paragraph (rhetorical) You(scribes), snakes, group of poisonous snakes, how will you(scribes) avoid [God deciding to punish you(scribes)]? (statement) You(scribes), snakes, group of poisonous snakes, you(scribes) will not be able [to avoid [God deciding to punish you(scribes)]].	Matthew
2 Samuel 11:11	Uriah said to David, ["The Ark of the Covenant is in a tent]. And the soldiers of Israel and the soldiers of Judah are sleeping in tents. My(Uriah's) captain named Joab and Joab's soldiers are sleeping in fields. I(Uriah) will not go to my(Uriah's) house. And I(Uriah) will not eat food at my(Uriah's) house. And I(Uriah) will not drink wine at my(Uriah's) house. And I(Uriah) will not sex my(Uriah's) wife. I(Uriah) certainly will not do those things!"	2_Samuel
Matthew 22:9	So you(servants) (imp) go to the corners of the big _Implicit streets. And you(servants) (imp) invite to the meal/feast _implicit all the people [that you(servants) will find]."	Matthew
Mark 6:22	[(implicit-situational) While the people _frameInferable were eating the meal,] Herodias's daughter came into the room _implicitNecessaryFrameInferable. And [when Herodias's daughter danced,] Herodias's daughter pleased Herod and Herod's guests. (paragraph) The king said to the girl _frameInferable, ["You(girl) ask-B a thing [that you(girl) want] to me(king)]. And I(king) will give that thing to you(girl)."	Mark
Mark 8:30	(paragraph) Then Jesus warned Jesus's followers/disciples [Jesus's followers/disciples not to tell people _generic about Jesus].	Mark
Mark 11:7	Those followers/disciples _dual brought-C that horse/donkey to Jesus. And those followers/disciples _dual put those followers'/disciples' coats/cloaks _dual on that horse/donkey. And Jesus sat on that horse/donkey.	Mark
Genesis 25:33	But Jacob said, ["You(Esau) (imp) promise me(Jacob) [that you(Esau) will allow [me(Jacob) to inherit all the things of the father of us(Jacob)]]”]. So Esau promised Jacob [that Jacob would inherit the things of the father of Jacob].	Genesis
Genesis 22:14	So Abraham named that place [Yahweh gives the things [that I(Abraham) need] to me(Abraham)]. Today people still say, ["Yahweh will give the things [that I(people) need] to me(people) on the mountain."]	Genesis
Genesis 20:11	Then Abraham answered Abimelech, ["I(Abraham) thought [the people [who live in this place] did not respect God]].  I(Abraham) thought [a person will kill me(Abraham) [in-order-to marry Sarah]].	Genesis
Daniel 3:26	King Nebuchadnezzar walked toward the extremely hot fire. Then Nebuchadnezzar shouted, ["Shadrach, Meshach, and Abednego, you(men) (imp) come out from the fire]. You(men) are servants of the greatest God." So Shadrach, Meshach, and Abednego came out from the fire.	Daniel
1 Samuel 16:7	But Yahweh said to Samuel, ["You(Samuel) (imp) do not look at Eliab’s face or Eliab’s height]. [Although Eliab is handsome and tall] I(Yahweh) did not choose Eliab [to become the new king].  Yahweh does not look at the things [that people look at]. People look at the outside of a person. But Yahweh looks at the heart of a person."	1_Samuel
Genesis 6:9	-Title God saves Noah from the flood.  This story is about Noah.  Noah was a good man.  Noah was the most righteous person on the earth.  Noah regularly walked with God.	Genesis
Mark 15:38	(paragraph) Then the curtain of the temple was torn by God _implicitActiveAgent into 2 pieces. The curtain tore from the curtain's _implicit top to the curtain's _implicit bottom.	Mark
Matthew 5:47	(rhetorical) And [if you(people) greet only your(people's) friends/brothers-D and sisters _Dimplicit ,] what thing [that other people do not do] do you(people) do ? (statement) And [if you(people) greet only your(people's) friends/brothers-D and sisters _Dimplicit,] you(people) do the same thing [that other people do ]. _yesrhetorical (literal) Do even gentiles greet gentiles's friends? _yesrhetorical (dynamic) Do even bad _morally people greet bad _morally people's friends? (statement) (literal) Even gentiles greet gentiles's friends. (statement) (dynamic) Even bad _morally people greet bad _morally people's friends.	Matthew
Genesis 14:6	Kedorlaomer and the other 3 kings also defeated the Horite [who lived in the mountains of Edom]. These kings defeated all the people [who lived in that region].  These kings even went to a city named El-Paran [which is near the desert].	Genesis
Jonah 3:2	Yahweh said, ["You(Jonah) (imp) go to the great city named Nineveh]. And you(Jonah) (imp) tell/preach to the people [who are living in Nineveh] the message [that I(Yahweh) will tell to you(Jonah)]."	Jonah
2 Samuel 13:38	[After Absalom run-away/fled to Geshur] Absalom stayed at that place for 3 years.	2_Samuel
2 Samuel 13:5	Jonadab said to Amnon, ["(imp) You(Amnon) go.]  And (imp) you(Amnon) lay down on your(Amnon's) bed. (imp) You(Amnon) pretend [that you(Amnon) are sick]. Then your(Amnon's) father will come to you(Amnon).  Then (imp) you(Amnon) say to your(Amnon's) father, ["I(Amnon) want [my(Amnon's) sister named Tamar to come to me(Amnon)].]  And I(Amnon) want [Tamar to give food to me(Amnon)]. You(father) let [Tamar prepare the food in front of me(Amnon)] [so that I(Amnon) could watch Tamar]. Then Tamar will feed that food to me(Amnon).""	2_Samuel
Nehemiah 4:7	But then Sanballat, Tobiah, the people [that were from Arabia], the people [that were from Ammon], and the people [that were from Ashdod] heard [that we(Nehemiah) were continuing to build the wall]. And Sanballat, Tobiah, and those other people heard that [we(Nehemiah) were repairing the wall at places [that holes were in the wall at]]. Then Sanballat, Tobiah, and those other people became very angry.	Nehemiah
Matthew 19:15	[After Jesus put Jesus's hands on those children,] Jesus left that place.	Matthew
Genesis 42:8	[Although Joseph recognized Joseph's brothers] Joseph's brothers did not recognize Joseph.	Genesis
Mark 4:7	Other seeds fell among plants [that had sharp points]. Those plants [that had sharp points] grew. And those plants surrounded the plants [that grew from those seeds [(implicit-situational) that that farmer planted]]. So the plants [that grew from those seeds] were not able [to make new seeds].	Mark
Joshua 1:13	Joshua said to those people, ["(imp) You(people) remember the command [that Moses said to you(people)]]. Moses served Yahweh. And Moses said, ["Your(people's) God named Yahweh will cause [you(people) to rest]]. And Yahweh will give this land to you(people)".	Joshua
Genesis 41:47	During the 7 good years the crops [that were in Egypt] grew well.	Genesis
Nehemiah 2:12	Then I(Nehemiah) and a few people went out of the city during the night. I(Nehemiah) did not tell people about the things [that I(Nehemiah) wanted [to do for Jerusalem]].  I(Nehemiah) rode an animal. But the other people [that came with me(Nehemiah)] did not ride animals.	Nehemiah
